plant_id,norsk_navn,engelsk_navn,latinsk_navn,kategori,familie_type,lufttemp_optimal_min_c,lufttemp_optimal_max_c,lufttemp_akseptabel_min_c,lufttemp_akseptabel_max_c,luftfukt_optimal_min_pct,luftfukt_optimal_max_pct,luftfukt_akseptabel_min_pct,luftfukt_akseptabel_max_pct,jordtemp_optimal_min_c,jordtemp_optimal_max_c,jordtemp_akseptabel_min_c,jordtemp_akseptabel_max_c,jordfukt_optimal_min_pct,jordfukt_optimal_max_pct,jordfukt_akseptabel_min_pct,jordfukt_akseptabel_max_pct,ph_optimal_min,ph_optimal_max,ph_akseptabel_min,ph_akseptabel_max,lys_optimal_min_lux,lys_optimal_max_lux,lys_akseptabel_min_lux,lys_akseptabel_max_lux,spiretemp_optimal_min_c,spiretemp_optimal_max_c,vanning_kort,klima_notat,kildegrunnlag,undervanning_tegn,overvanning_tegn,undervanning_tiltak,overvanning_tiltak,vanningsstrategi
kale,grønnkål,kale,Brassica oleracea var. sabellica,grønnsak,kålvekst kjølig,14,20,6,24,60,75,50,90,8,16,4,20,55,75,45,85,6.0,7.0,5.5,7.5,12000,30000,8000,35000,8,18,"Jevnt lett fuktig jord, ikke la den tørke helt ut.",Kjølig til middels varm bladgrønnsak som liker jevn fukt og stabilt klima.,Basert på salat/spinat/kål-tabeller for kjølige bladgrønnsaker; praktisk intervall.,"Bladene blir slappe og kantene tørre, planten vokser sakte.","Gulning ved basis, bladsopp og løs rot i våt jord.","Vann oftere med moderate mengder, hold jorda jevnt fuktig.","Reduser vanning, forbedre drenering og luft rundt plantene.","Jevn lett fukt, la topplaget tørke svakt mellom vanning."
arugula,ruccola,arugula,Eruca sativa,grønnsak,kjølig bladgrønt,14,20,6,24,60,75,50,90,8,16,4,20,55,75,45,85,6.0,7.0,5.5,7.5,12000,30000,8000,35000,8,18,"Jevnt lett fuktig jord, ikke la den tørke helt ut.",Kjølig til middels varm bladgrønnsak som liker jevn fukt og stabilt klima.,Basert på salat/spinat/kål-tabeller for kjølige bladgrønnsaker; praktisk intervall.,"Bladene blir slappe og kantene tørre, planten vokser sakte.","Gulning ved basis, bladsopp og løs rot i våt jord.","Vann oftere med moderate mengder, hold jorda jevnt fuktig.","Reduser vanning, forbedre drenering og luft rundt plantene.","Jevn lett fukt, la topplaget tørke svakt mellom vanning."
radish,reddik,radish,Raphanus sativus,grønnsak,kjølig rotgrønnsak,12,20,6,24,60,75,50,90,8,18,4,22,50,70,40,80,6.0,7.0,5.5,7.5,12000,30000,8000,35000,8,18,"Moderat jevn fukt, ikke vannmettet jord.","Kjølig til middels varm rotvekst som liker dyp, løs jord og jevn fukt.",Basert på gulrot/reddik/rotvekst-tabeller; praktisk intervall for rotgrønnsaker.,"Små, trevlete røtter og slappe blad; jord tørr dypere ned.","Råte på røtter, vond lukt og kompakt, våt jord.",Vann dypere og sjeldnere slik at hele rotsonen fuktes.,"Reduser vanning, løsne jorda og forbedre drenering.","Moderat jevn fukt, la overflaten tørke lett mellom vanning."
carrot,gulrot,carrot,Daucus carota,grønnsak,rotgrønnsak,12,20,6,24,60,75,50,90,8,18,4,22,50,70,40,80,6.0,7.0,5.5,7.5,12000,30000,8000,35000,8,18,"Moderat jevn fukt, ikke vannmettet jord.","Kjølig til middels varm rotvekst som liker dyp, løs jord og jevn fukt.",Basert på gulrot/reddik/rotvekst-tabeller; praktisk intervall for rotgrønnsaker.,"Små, trevlete røtter og slappe blad; jord tørr dypere ned.","Råte på røtter, vond lukt og kompakt, våt jord.",Vann dypere og sjeldnere slik at hele rotsonen fuktes.,"Reduser vanning, løsne jorda og forbedre drenering.","Moderat jevn fukt, la overflaten tørke lett mellom vanning."
strawberry,jordbær,strawberry,Fragaria × ananassa,bær,bær flerårig,16,22,8,26,60,75,50,85,12,18,8,22,55,75,45,85,5.3,6.5,5.0,6.8,20000,45000,15000,50000,12,22,"Jevnt fuktig jord, ikke la potter tørke helt ut.","Bærvekst som liker kjølig til moderat varme, mye lys og jevn jordfukt.",Basert på jordbær og andre bær i kontrollerte miljø; praktisk intervall.,"Blad og bær blir små og tørre, planten henger i varme perioder.","Gråmugg og råte på bær og rothals, jord konstant våt.","Vann jevnt i små pulser, særlig under blomstring og bærutvikling.","Reduser vanning, forbedre drenering, øk lufting og fjern sykt materiale.","Jevn fukt, la topplaget tørke lett mellom vanning."
squash,squash,summer squash,Cucurbita pepo,grønnsak,varmeelskende fruktgrønnsak,21,26,18,32,60,75,50,85,18,22,15,26,60,80,50,90,5.8,6.8,5.5,7.5,25000,60000,15000,70000,20,28,"Jevnt fuktig jord, ikke la tørke helt ut.",Varm og lyselskende drivhusplante som ikke tåler kulde eller langvarig hete.,Basert på drivhustabeller for tomat/agurk/paprika og grønnsaksguider; praktisk intervall for varm fruktgrønnsak.,"Blader og blomster henger, veksten stopper opp, frukter blir små eller faller av.","Gule blader, myke stengler, råte ved rothals, jord lukter surt og er konstant våt.","Vann grundig til hele rotsonen er gjennomvåt, gjenta først når topplaget har tørket lett.","Stopp vanning, luft jorda, forbedre drenering og fjern vann som blir stående.","Jevn fukt, dyp vanning med pauser så jorda får tørke lett mellom hver gang."
eggplant,aubergine,eggplant,Solanum melongena,grønnsak,varmeelskende fruktgrønnsak,21,26,18,32,60,75,50,85,18,22,15,26,60,80,50,90,5.8,6.8,5.5,7.5,25000,60000,15000,70000,20,28,"Jevnt fuktig jord, ikke la tørke helt ut.",Varm og lyselskende drivhusplante som ikke tåler kulde eller langvarig hete.,Basert på drivhustabeller for tomat/agurk/paprika og grønnsaksguider; praktisk intervall for varm fruktgrønnsak.,"Blader og blomster henger, veksten stopper opp, frukter blir små eller faller av.","Gule blader, myke stengler, råte ved rothals, jord lukter surt og er konstant våt.","Vann grundig til hele rotsonen er gjennomvåt, gjenta først når topplaget har tørket lett.","Stopp vanning, luft jorda, forbedre drenering og fjern vann som blir stående.","Jevn fukt, dyp vanning med pauser så jorda får tørke lett mellom hver gang."
melon,melon,melon,Cucumis melo,grønnsak,varmeelskende fruktgrønnsak,21,26,18,32,60,75,50,85,18,22,15,26,60,80,50,90,5.8,6.8,5.5,7.5,25000,60000,15000,70000,20,28,"Jevnt fuktig jord, ikke la tørke helt ut.",Varm og lyselskende drivhusplante som ikke tåler kulde eller langvarig hete.,Basert på drivhustabeller for tomat/agurk/paprika og grønnsaksguider; praktisk intervall for varm fruktgrønnsak.,"Blader og blomster henger, veksten stopper opp, frukter blir små eller faller av.","Gule blader, myke stengler, råte ved rothals, jord lukter surt og er konstant våt.","Vann grundig til hele rotsonen er gjennomvåt, gjenta først når topplaget har tørket lett.","Stopp vanning, luft jorda, forbedre drenering og fjern vann som blir stående.","Jevn fukt, dyp vanning med pauser så jorda får tørke lett mellom hver gang."
thyme,timian,thyme,Thymus vulgaris,urt,middelhavsurt,18,26,10,30,40,60,30,70,16,22,10,26,30,50,20,60,6.5,7.5,6.0,8.0,20000,50000,12000,60000,16,22,"Sparsom vanning, la jorden tørke godt opp mellom hver gang.","Middelhavsurt som liker varm, solrik og tørr plassering med veldrenert jord.",Basert på guider for timian/rosmarin/lavendel; praktisk intervall for tørre urter.,"Blader og skudd blir grågrønne og tørre, liten nyvekst.","Gule, slappe skudd, råte ved rothals og våt, kompakt jord.","Vann godt, men sjelden, når jorden er tørr flere cm ned.","Stopp vanning, øk drenering og lufting, eventuelt ompotting.",Tørr til lett fuktig jord med tydelig tørkeperiode mellom vanning.
oregano,oregano,oregano,Origanum vulgare,urt,middelhavsurt,18,26,10,30,40,60,30,70,16,22,10,26,30,50,20,60,6.5,7.5,6.0,8.0,20000,50000,12000,60000,16,22,"Sparsom vanning, la jorden tørke godt opp mellom hver gang.","Middelhavsurt som liker varm, solrik og tørr plassering med veldrenert jord.",Basert på guider for timian/rosmarin/lavendel; praktisk intervall for tørre urter.,"Blader og skudd blir grågrønne og tørre, liten nyvekst.","Gule, slappe skudd, råte ved rothals og våt, kompakt jord.","Vann godt, men sjelden, når jorden er tørr flere cm ned.","Stopp vanning, øk drenering og lufting, eventuelt ompotting.",Tørr til lett fuktig jord med tydelig tørkeperiode mellom vanning.
rosemary,rosmarin,rosemary,Salvia rosmarinus,urt,middelhavsurt,18,26,10,30,40,60,30,70,16,22,10,26,30,50,20,60,6.5,7.5,6.0,8.0,20000,50000,12000,60000,16,22,"Sparsom vanning, la jorden tørke godt opp mellom hver gang.","Middelhavsurt som liker varm, solrik og tørr plassering med veldrenert jord.",Basert på guider for timian/rosmarin/lavendel; praktisk intervall for tørre urter.,"Blader og skudd blir grågrønne og tørre, liten nyvekst.","Gule, slappe skudd, råte ved rothals og våt, kompakt jord.","Vann godt, men sjelden, når jorden er tørr flere cm ned.","Stopp vanning, øk drenering og lufting, eventuelt ompotting.",Tørr til lett fuktig jord med tydelig tørkeperiode mellom vanning.
mint,mynte,mint,Mentha spp.,urt,flerårig urt,16,22,10,26,55,75,45,85,14,20,8,24,50,75,40,85,6.0,7.0,5.5,7.5,12000,30000,8000,35000,14,22,"Jevnt lett fuktig jord, ikke la potten tørke helt ut.","Urt som liker moderat varme, god lysmengde og jevnt fuktig jord.",Basert på urteguider for basilikum/persille/mynte; praktisk intervall.,"Blader henger og blir matte, stilker blir slappe, jord tørr.","Gulning og bladfall nedenfra, mørk rothals og mugglukt.","Vann når topplaget er tørt og planten mister spenst, gjennomvann potten.","La jorda tørke lett opp, forbedre drenering og klipp bort råtne deler.","Jevn fukt, men la øverste lag tørke lett mellom vanning."
chives,gressløk,chives,Allium schoenoprasum,urt,flerårig urt,14,22,4,26,60,75,50,85,8,18,4,22,50,70,40,80,6.0,7.0,5.5,7.8,15000,30000,8000,35000,6,18,"Moderat fukt, la jorden tørke lett mellom vanning.",Kjølig til mild løkvekst som liker veldrenert jord og moderat fukt.,Basert på løk/purre/hvitløk-tabeller; praktisk intervall for allium.,Tynne eller tørre blad og liten løk-/skaftdannelse.,"Myk rothals, råte og sterk lukt fra løk i våt jord.","Vann dypere men ikke for ofte, unngå kun overflatevanning.","Stopp vanning, forbedre drenering og lufting rundt plantene.","Moderat fukt, tydelig tørk mellom vanning, spesielt mot innhøsting."
spring_onion,vårløk,spring onion,Allium fistulosum,grønnsak,løkvekst,14,22,4,26,60,75,50,85,8,18,4,22,50,70,40,80,6.0,7.0,5.5,7.8,15000,30000,8000,35000,6,18,"Moderat fukt, la jorden tørke lett mellom vanning.",Kjølig til mild løkvekst som liker veldrenert jord og moderat fukt.,Basert på løk/purre/hvitløk-tabeller; praktisk intervall for allium.,Tynne eller tørre blad og liten løk-/skaftdannelse.,"Myk rothals, råte og sterk lukt fra løk i våt jord.","Vann dypere men ikke for ofte, unngå kun overflatevanning.","Stopp vanning, forbedre drenering og lufting rundt plantene.","Moderat fukt, tydelig tørk mellom vanning, spesielt mot innhøsting."
pea_sugar,sukkererter,sugar snap pea,Pisum sativum,grønnsak,belgvekst kjølig,14,22,6,26,60,75,50,85,10,18,5,22,55,75,45,85,6.0,7.5,5.8,7.8,15000,30000,8000,35000,8,20,"Moderat jevn fukt, spesielt i blomstring og belging.",Belgvekst som trives i kjølig til moderat temperatur og jevnt fuktig jord.,Basert på erter/bønner-tabeller; praktisk intervall for belgvekster.,"Blomster og belger tørker inn og faller av, bladene henger.","Gulning, rotråte og svært våt, kompakt jord.","Vann jevnt i rotsonen, øk frekvensen i varme perioder.","Reduser vanning, løsne jord og forbedre drenering.","Moderat jevn fukt, la topplaget tørke lett mellom vanning."
bean,bønner,beans,Phaseolus vulgaris,grønnsak,belgvekst varm,14,22,6,26,60,75,50,85,10,18,5,22,55,75,45,85,6.0,7.5,5.8,7.8,15000,30000,8000,35000,8,20,"Moderat jevn fukt, spesielt i blomstring og belging.",Belgvekst som trives i kjølig til moderat temperatur og jevnt fuktig jord.,Basert på erter/bønner-tabeller; praktisk intervall for belgvekster.,"Blomster og belger tørker inn og faller av, bladene henger.","Gulning, rotråte og svært våt, kompakt jord.","Vann jevnt i rotsonen, øk frekvensen i varme perioder.","Reduser vanning, løsne jord og forbedre drenering.","Moderat jevn fukt, la topplaget tørke lett mellom vanning."
broccoli,brokkoli,broccoli,Brassica oleracea var. italica,grønnsak,kålvekst kjølig,14,20,6,24,60,75,50,90,8,16,4,20,55,75,45,85,6.0,7.0,5.5,7.5,12000,30000,8000,35000,8,18,"Jevnt lett fuktig jord, ikke la den tørke helt ut.",Kjølig til middels varm bladgrønnsak som liker jevn fukt og stabilt klima.,Basert på salat/spinat/kål-tabeller for kjølige bladgrønnsaker; praktisk intervall.,"Bladene blir slappe og kantene tørre, planten vokser sakte.","Gulning ved basis, bladsopp og løs rot i våt jord.","Vann oftere med moderate mengder, hold jorda jevnt fuktig.","Reduser vanning, forbedre drenering og luft rundt plantene.","Jevn lett fukt, la topplaget tørke svakt mellom vanning."
cauliflower,blomkål,cauliflower,Brassica oleracea var. botrytis,grønnsak,kålvekst kjølig,14,20,6,24,60,75,50,90,8,16,4,20,55,75,45,85,6.0,7.0,5.5,7.5,12000,30000,8000,35000,8,18,"Jevnt lett fuktig jord, ikke la den tørke helt ut.",Kjølig til middels varm bladgrønnsak som liker jevn fukt og stabilt klima.,Basert på salat/spinat/kål-tabeller for kjølige bladgrønnsaker; praktisk intervall.,"Bladene blir slappe og kantene tørre, planten vokser sakte.","Gulning ved basis, bladsopp og løs rot i våt jord.","Vann oftere med moderate mengder, hold jorda jevnt fuktig.","Reduser vanning, forbedre drenering og luft rundt plantene.","Jevn lett fukt, la topplaget tørke svakt mellom vanning."
cabbage,kål,cabbage,Brassica oleracea,grønnsak,kålvekst kjølig,14,20,6,24,60,75,50,90,8,16,4,20,55,75,45,85,6.0,7.0,5.5,7.5,12000,30000,8000,35000,8,18,"Jevnt lett fuktig jord, ikke la den tørke helt ut.",Kjølig til middels varm bladgrønnsak som liker jevn fukt og stabilt klima.,Basert på salat/spinat/kål-tabeller for kjølige bladgrønnsaker; praktisk intervall.,"Bladene blir slappe og kantene tørre, planten vokser sakte.","Gulning ved basis, bladsopp og løs rot i våt jord.","Vann oftere med moderate mengder, hold jorda jevnt fuktig.","Reduser vanning, forbedre drenering og luft rundt plantene.","Jevn lett fukt, la topplaget tørke svakt mellom vanning."
celery,selleri,celery,Apium graveolens,grønnsak,stilkgrønnsak,16,22,8,26,65,80,55,90,14,18,8,22,65,80,55,90,6.0,7.0,5.8,7.5,15000,30000,8000,35000,14,20,"Fuktig jord nesten hele tiden, ikke la tørke helt ut.",Stilkvekst som krever jevn høy jordfukt og moderat temperatur.,Basert på selleri og lignende stilkvekster; praktisk intervall.,"Stilker blir trådlige, hule og bitre, bladene slappe.","Stilkbase råtner, sterk lukt og veldig våt jord.","Øk vanningsfrekvensen og sørg for dyp fukt, spesielt i varme perioder.","Reduser vanning, forbedre drenering og klipp bort råtne deler.","Høy og jevn fukt, unngå både uttørking og vannmettet jord."
leek,purre,leek,Allium ampeloprasum,grønnsak,løkvekst,14,22,4,26,60,75,50,85,8,18,4,22,50,70,40,80,6.0,7.0,5.5,7.8,15000,30000,8000,35000,6,18,"Moderat fukt, la jorden tørke lett mellom vanning.",Kjølig til mild løkvekst som liker veldrenert jord og moderat fukt.,Basert på løk/purre/hvitløk-tabeller; praktisk intervall for allium.,Tynne eller tørre blad og liten løk-/skaftdannelse.,"Myk rothals, råte og sterk lukt fra løk i våt jord.","Vann dypere men ikke for ofte, unngå kun overflatevanning.","Stopp vanning, forbedre drenering og lufting rundt plantene.","Moderat fukt, tydelig tørk mellom vanning, spesielt mot innhøsting."
onion,løk,onion,Allium cepa,grønnsak,løkvekst,14,22,4,26,60,75,50,85,8,18,4,22,50,70,40,80,6.0,7.0,5.5,7.8,15000,30000,8000,35000,6,18,"Moderat fukt, la jorden tørke lett mellom vanning.",Kjølig til mild løkvekst som liker veldrenert jord og moderat fukt.,Basert på løk/purre/hvitløk-tabeller; praktisk intervall for allium.,Tynne eller tørre blad og liten løk-/skaftdannelse.,"Myk rothals, råte og sterk lukt fra løk i våt jord.","Vann dypere men ikke for ofte, unngå kun overflatevanning.","Stopp vanning, forbedre drenering og lufting rundt plantene.","Moderat fukt, tydelig tørk mellom vanning, spesielt mot innhøsting."
garlic,hvitløk,garlic,Allium sativum,grønnsak,løkvekst,14,22,4,26,60,75,50,85,8,18,4,22,50,70,40,80,6.0,7.0,5.5,7.8,15000,30000,8000,35000,6,18,"Moderat fukt, la jorden tørke lett mellom vanning.",Kjølig til mild løkvekst som liker veldrenert jord og moderat fukt.,Basert på løk/purre/hvitløk-tabeller; praktisk intervall for allium.,Tynne eller tørre blad og liten løk-/skaftdannelse.,"Myk rothals, råte og sterk lukt fra løk i våt jord.","Vann dypere men ikke for ofte, unngå kun overflatevanning.","Stopp vanning, forbedre drenering og lufting rundt plantene.","Moderat fukt, tydelig tørk mellom vanning, spesielt mot innhøsting."
potato,potet,potato,Solanum tuberosum,grønnsak,knollvekst,12,20,6,24,60,75,50,90,8,18,4,22,50,70,40,80,6.0,7.0,5.5,7.5,12000,30000,8000,35000,8,18,"Moderat jevn fukt, ikke vannmettet jord.","Kjølig til middels varm rotvekst som liker dyp, løs jord og jevn fukt.",Basert på gulrot/reddik/rotvekst-tabeller; praktisk intervall for rotgrønnsaker.,"Små, trevlete røtter og slappe blad; jord tørr dypere ned.","Råte på røtter, vond lukt og kompakt, våt jord.",Vann dypere og sjeldnere slik at hele rotsonen fuktes.,"Reduser vanning, løsne jorda og forbedre drenering.","Moderat jevn fukt, la overflaten tørke lett mellom vanning."
calendula,ringblomst,pot marigold,Calendula officinalis,blomst,ettårig blomst,18,24,10,28,50,70,40,80,16,20,10,24,45,70,35,80,6.0,7.5,5.5,7.8,20000,45000,15000,55000,16,22,"Moderat vanning, unngå både uttørking og klissvåt jord.","Sommerblomst for drivhus og potter, liker sol, moderat temperatur og god lufting.",Basert på sommerblomst-guider for potter og drivhus; praktisk intervall.,"Blomster og blader henger, jorda lett og tørr, knopper tørker inn.","Gulning, rotråte ved basis, mugglukt og våt jord.","Vann når topplaget er tørt og planten begynner å henge, gjennomvann potta.","La potten tørke lett opp, sjekk drenering og tøm skåler.","Moderat fukt, la øverste jordlag tørke mellom vanning."
tagetes,tagetes,marigold,Tagetes spp.,blomst,ettårig blomst,18,24,10,28,50,70,40,80,16,20,10,24,45,70,35,80,6.0,7.5,5.5,7.8,20000,45000,15000,55000,16,22,"Moderat vanning, unngå både uttørking og klissvåt jord.","Sommerblomst for drivhus og potter, liker sol, moderat temperatur og god lufting.",Basert på sommerblomst-guider for potter og drivhus; praktisk intervall.,"Blomster og blader henger, jorda lett og tørr, knopper tørker inn.","Gulning, rotråte ved basis, mugglukt og våt jord.","Vann når topplaget er tørt og planten begynner å henge, gjennomvann potta.","La potten tørke lett opp, sjekk drenering og tøm skåler.","Moderat fukt, la øverste jordlag tørke mellom vanning."
lavender,lavendel,lavender,Lavandula angustifolia,blomst,middelhavsurt,18,26,10,30,40,60,30,70,16,22,10,26,30,50,20,60,6.5,7.5,6.0,8.0,20000,50000,12000,60000,16,22,"Sparsom vanning, la jorden tørke godt opp mellom hver gang.","Middelhavsurt som liker varm, solrik og tørr plassering med veldrenert jord.",Basert på guider for timian/rosmarin/lavendel; praktisk intervall for tørre urter.,"Blader og skudd blir grågrønne og tørre, liten nyvekst.","Gule, slappe skudd, råte ved rothals og våt, kompakt jord.","Vann godt, men sjelden, når jorden er tørr flere cm ned.","Stopp vanning, øk drenering og lufting, eventuelt ompotting.",Tørr til lett fuktig jord med tydelig tørkeperiode mellom vanning.
